page_id,page_name,url,keywords,user_questions,page_type,fact_sources,material_sufficiency,priority,first_release,decision_note
P20,Airport Guide,/maps/airport/,"active matter airport map; new active matter map","What is the Airport raid?","Location guide","250 Shades of Liberty; official locations overview","No",P2,No,"Need mapped media and launch-build detail; do not create placeholder"
P21,Vanilla Mall Guide,/maps/vanilla-mall/,"active matter vanilla mall; active matter nexus map","What is the Vanilla Mall Nexus map?","Location guide","Gigastructure update","No",P2,No,"Only a short official mention is available"
P22,Enemies and Anomalies Hub,/enemies/,"active matter monster guide; active matter enemies; active matter anomalies","What enemies and anomalies are officially confirmed?","Hub","Official Flowermen profile; official patch notes; locations overview","Yes",P0,Yes,"Entity index links only to verified coverage"
P23,Flowermen Guide,/enemies/flowermen/,"active matter flowermen; active matter alpha flowerman","How do Flowermen behave and what is an Alpha Flowerman?","Enemy guide","Official Flowermen profile; Gigastructure update","Yes",P0,Yes,"Strong object-mapped official image set"
P24,Creature Field Guide,/enemies/creatures/,"active matter dendroids; active matter distorted; active matter invisibles; active matter hellhounds","Which non-Flowerman creatures are officially documented?","Enemy guide","Official locations overview; Gigastructure update; patch 0.4.0.93","Yes as grouped guide",P1,Yes,"Group limited verified behaviors; no unsupported stats or spawn tables"
P25,Anomalies Guide,/enemies/anomalies/,"active matter anomalies; active matter tentacle; active matter fireball","Which anomalies are officially confirmed?","Mechanics guide","Gigastructure update; Fire Walk update","Yes as grouped guide",P1,Yes,"Describe confirmed additions; no damage values"
P26,Workshop Overview,/systems/workshop/,"active matter workshop; active matter crafting","What changed in the Workshop?","System guide","Patch 0.4.0.62; patch 0.4.0.93","Yes at overview level",P1,Yes,"Explain verified interface consolidation and repair capability; no recipes"
P27,Replicator and Refiner,/systems/replicator-refiner/,"active matter replicator; active matter refiner; unlock new slots in replicator","How do I unlock slots and use the current interfaces?","System guide","Patch 0.4.0.62; 250 Shades; patch 0.4.0.93","No",P1,No,"Exact unlock steps, recipes and current UI need launch-client verification"
P28,Harmonization and Progression,/systems/harmonization/,"active matter harmonization; active matter merits; active matter progression","What carries through Harmonization and how does global unlocking work?","System guide","Gigastructure update; launch announcement","Yes at high level",P1,Yes,"Version-label broad progression facts; omit economy values"
P29,Monolith Tokens,/systems/monolith-tokens/,"active matter how to get monolith tokens; active matter monolith price","How do I earn and spend Monolith tokens?","System guide","Search demand only; no sufficient official rule set","No",P1,No,"Requires in-game verification and versioned reward table"
P30,Weapons Hub,/weapons/,"active matter weapons; active matter weapons list; active matter weapon stats; active matter best guns","What weapons exist and how do they compare?","Hub/guide","Official update art is insufficient for complete stats","No",P1,No,"Do not copy community stats or publish an untested tier list"
P31,Perks Guide,/guides/perks/,"active matter perks; active matter best perks","What perks exist and which are best?","Guide","Search demand only; current dataset not verified","No",P2,No,"Requires complete launch-build perk list and disclosed evaluation method"
P32,Updates Hub,/updates/,"active matter update; active matter patch notes; active matter 2026","What changed in recent updates?","Hub","Official Active Matter news and patch notes","Yes",P0,Yes,"Chronological summaries link to official sources"
P33,Patch 0.4.0.93,/updates/0-4-0-93/,"active matter 0.4.0.93; active matter latest patch","What changed immediately before release?","Patch summary","Official patch 0.4.0.93","Yes",P0,Yes,"Current patch as of research date; label date/version"
P34,Gigastructure Update,/updates/gigastructure/,"active matter gigastructure update; active matter park update","What did the Gigastructure update add?","Update summary","Official Gigastructure update","Yes",P1,Yes,"Use official update art and video"
P35,250 Shades of Liberty,/updates/250-shades-of-liberty/,"active matter 250 shades of liberty; active matter downtown update","What did 250 Shades of Liberty add?","Update summary","Official 250 Shades of Liberty article","Yes",P1,Yes,"Cover Downtown, Airport and system changes at verified scope"
P36,Fire Walk Update,/updates/fire-walk/,"active matter fire walk; active matter scorch","What did Fire Walk add?","Update summary","Official Fire Walk article","Yes",P2,Yes,"Cover Scorch, Fireball and Fire without inferred stats"
P37,Release Launch,/updates/release-launch/,"active matter release; active matter launch; active matter 2026","What changed at full launch?","Release summary","Official launch announcement; Steam","Yes",P0,Yes,"Current launch context, platforms, Merits and Deluxe rename"
P38,Review and Buying Verdict,/game-info/review/,"active matter review; active matter is it good; active matter is it worth it","Is Active Matter worth buying?","Review","Official facts cannot support an independent verdict","No",P1,No,"Requires hands-on launch-build testing and transparent review method"
P39,Player Count,/game-info/player-count/,"active matter player count; how many people play active matter; active matter steam charts","How many people are playing now?","Live data/reference","Requires timestamped Steam time-series data","No",P1,No,"Do not publish a static or invented count"
P40,About,/about/,"about active matter guide","Who runs this guide and what does it cover?","Trust page","Editorial scope and verified game identity","Yes",P2,Yes,"Original site information; no claim of publisher affiliation"
P41,Sources and Editorial Policy,/sources/,"active matter sources; editorial policy","How are facts verified and updated?","Trust page","Phase 4 source register; asset manifest","Yes",P1,Yes,"Explain official-first policy, version dates and corrections"
P42,Contact,/contact/,"active matter guide contact","How can readers report an error?","Trust page","Site-owned content","Yes",P2,Yes,"Simple contact route; no invented address before configuration"
P43,Privacy Policy,/privacy/,"privacy policy","What data does the site collect?","Legal page","Actual implementation and analytics choices","Yes after implementation sync",P1,Yes,"Final wording must match deployed analytics/forms/cookies"
P44,Terms of Use,/terms/,"terms of use","What are the site usage terms?","Legal page","Actual site ownership and functionality","Yes after implementation sync",P1,Yes,"Original terms; do not copy template text blindly"
P45,Disclaimer,/disclaimer/,"active matter fan site disclaimer","Is the site affiliated with Matter Team or Gaijin?","Legal/trust page","Verified developer/publisher identity and site ownership","Yes",P1,Yes,"Clear unofficial fan-guide and trademark disclaimer"
